Bid,,Ask,
Price,Size,Price,Size
33.53,"1,724",33.54,"3,400"
33.52,"3,548",33.55,"3,060"
33.51,"3,300",33.56,"7,100"
33.5,"4,535",33.57,"6,600"
33.49,"7,650",33.58,"7,831"
